"-- Please Select --","-- Prosimy wybrać --"
"Actions","Operacje"
"Add Layout Update","Dodaj aktualizację układu"
"All","Wszystko"
"All Pages","Wszystkie strony"
"All Product Types","Wszystkie rodzaje produktów"
"Anchor Categories","Kategorie zakotwiczone"
"Apply","Zastosuj"
"Assign to Store Views","Przypisz do widoków sklepu"
"Big Image","Duży obrazek"
"Categories","Kategorie"
"Choose...","Wybierz..."
"Close","Zamknij"
"Continue","Kontynuuj"
"Default Template","Domyślny szablon"
"Delete","Usuń"
"Design Package/Theme","Pakiet wyglądu/motyw"
"Export to:","Eksportuj do:"
"Frontend Properties","Właściwości interfejsu klienta"
"Generic Pages","Ogólne strony"
"Images","Obrazki"
"Insert Widget","Wstaw widget"
"Layout Updates","Aktualizacje układu"
"New Widget Instance","Nowa instancja widgetu"
"Next page","Następna strona"
"Non-Anchor Categories","Kategorie niezakotwiczone"
"Not Selected","Nie wybrano"
"Open Chooser","Otwórz selektor"
"Page","Strona"
"Previous page","Poprzednia strona"
"Products","Produkty"
"Remove Layout Update","Usuń aktualizacje układu"
"Save and Continue Edit","Zapisz i kontynuuj edycję"
"Select All","Zaznacz wszystko"
"Select Visible","Zaznacz widoczne"
"Settings","Ustawienia"
"Sort Order","Kolejność sortowania"
"Specified Page","Wybrana strona"
"Template","Szablon"
"The information in this tab has been changed.","Informacje w tej zakładce zostały zmienione."
"The widget instance has been deleted.","Instancja widgetu została usunięta."
"The widget instance has been saved.","Instancja widgetu została zapisana."
"This tab contains invalid data. Please solve the problem before saving.","Zakładka zawiera błędne dane. Popraw błąd przed zapisaniem."
"Thumbnail","Miniatura"
"Total %d records found","Łącznie znaleziono %d wpis(ów)"
"Type","Rodzaj"
"Unselect All","Odznacz wszystko"
"Unselect Visible","Odznacz widoczne"
"View","Zobacz"
"Widget ID","ID widgetu"
"Widget Insertion","Wstawianie widgetu"
"Widget Options","Opcje widgetu"
"Widget Type","Typ widgetu"
"Widgets","Widgety"
"items selected","zaznaczonych produktów"
"of %s pages","z %s stron"
"per page","na stronę"
