"Add","Dodaj"
"Add New Role","Dodaj rolę"
"Address Type","Typ adresu"
"Admin","Administrator"
"Allow","Zezwól"
"Assigned","Przypisany"
"Attribute Set","Zestaw cech"
"Attributes","Cechy"
"Automatically Return Credit Memo Item to Stock","Automatycznie zwróć produkt z faktury korygującej do magazynu"
"Back","Powrót"
"Backorders","Rezerwacje"
"Base Currency","Waluta podstawowa"
"Catalog","Katalog"
"Category ID","ID kategorii"
"City","Miasto"
"Company","Firma"
"Country","Kraj"
"Coupon Code","Kod kuponu"
"Create","Utwórz"
"Create Permanent Redirect for old URL","Utwórz przekierowanie dla poprzedniego klucza URL"
"Customer","Klient"
"Customer Address","Adres klienta"
"Customer First Name","Imię klienta"
"Customer ID","ID klienta"
"Customer Last Name","Nazwisko klienta"
"Delete","Usuń"
"Deny","Zabroń"
"Discount","Zniżka"
"Discount Amount","Zniżka"
"Edit","Edytuj"
"Edit Role","Edytuj rolę"
"Email","E-mail"
"Enable Qty Increments","Włącz zwiększanie ilości"
"Exclude","Wyłącz"
"File Name","Nazwa pliku"
"First Name","Imię"
"Gift Message","Wiadomość prezentowa"
"Grand Total","Łącznie"
"Group","Grupa"
"Guest","Gość"
"ID","Identyfikator"
"Label","Etykieta"
"Last Name","Nazwisko"
"Manage Stock","Zarządzaj stanami"
"Maximum Qty Allowed in Shopping Cart","Maksymalna ilość w koszyku"
"Minimum Qty Allowed in Shopping Cart","Minimalna ilość w koszyku"
"New Role","Nowa rola"
"Notify for Quantity Below","Powiadamiaj o ujemnej ilości"
"Order","Zamówienie"
"Order Comments","Komentarze do zamówienia"
"Order Date","Data zamówienia"
"Order ID","ID zamówienia"
"Order Status","Stan zamówienia"
"Orders","Zamówienia"
"Original Price","Oryginalna cena"
"Payment Method","Metoda płatności"
"Phone Number","Numer telefonu"
"Placed from IP","Zamówienie złożone z IP"
"Position","Pozycja"
"Price","Cena"
"Product","Produkt"
"Product ID","ID produktu"
"Product Type","Typ produktu"
"Qty","Ilość"
"Qty Increments","Zwiększanie ilości"
"Qty Uses Decimals","Ilość używa wartości dziesiętnych"
"Role Info","Informacje o roli"
"Role Information","Informacje o roli"
"Role Name","Nazwa roli"
"Role Users","Użytkownicy roli"
"Roles","Role"
"SKU","<a href=""http://pl.wikipedia.org/wiki/SKU"">SKU</a>"
"Sales","Sprzedaż"
"Save","Zapisz"
"Shipping Amount","Wartość dostawy"
"Shipping Method","Metoda dostawy"
"State","Województwo"
"Stock Availability","Dostępność towaru"
"Stock Status","Stan magazynowy"
"Store Name","Nazwa sklepu"
"Subtotal","Suma częściowa"
"Tax Amount","Wartość podatku"
"Tax Percent","Podatek"
"Tax Rate","Stawka podatku"
"Total Due","Pozostało"
"Total Paid","Łącznie zapłacono"
"Total Refunded","Łącznie zwrócono"
"Type","Rodzaj"
"URL","ADRES URL"
"Update","Aktualizuj"
"Web Services","Usługi sieciowe"
"Web services","Usługi sieciowe"
"ZIP/Postal Code","Kod pocztowy"
