"%s and greater","%s i więcej"
"<strong>%d item(s)</strong> were found using the following search criteria","<strong>%d produktów</strong> zostało znalezionych przy pomocy następujących kryteriów"
"Advanced Search","Wyszukiwanie zaawansowane"
"All","Wszystko"
"Catalog Advanced Search","Zaawansowane wyszukiwanie w katalogu"
"Catalog Search","Wyszukiwanie"
"Don't see what you're looking for?","Nie możesz znaleźć tego czego szukasz?"
"Go","Dalej"
"Go to Home Page","Przejdź na stronę główną"
"Grid","Siatka"
"Home","Strona główna"
"List","Lista"
"Maximum Query Length","Maksymalna długość zapytania"
"Maximum Query Words Count","Licznik maksymalnej ilości słów w zapytaniu"
"Minimal Query Length","Minimalna długość zapytania"
"Modify your search","Zmodyfikuj swoje zapytanie"
"No","Nie"
"No items were found using the following search criteria.","Nie znaleziono żadnych produktów odpowiadających podanym kryteriom."
"Popular Search Terms","Popularne wyszukiwane frazy"
"Rebuild Catalog product fulltext search index","Przebuduj fultekstowy indeks produktów katalogu"
"Relevance","Znaczenie"
"Results","Rezultaty"
"Search","Szukaj"
"Search Settings","Ustawienia wyszukiwania"
"Search Terms","Szukane frazy"
"Search Type","Typ wyszukiwania"
"Search entire store here...","Szukaj w sklepie..."
"Search results for '%s'","Wyniki wyszukiwania dla '%s'"
"Search results for: '%s'","Wyniki wyszukiwania dla: '%s'"
"Subscribe to Feed","Zapisz się do kanału RSS"
"There are no search terms available.","Brak dostępnych fraz wyszukiwania."
"Yes","Tak"
"Your search returns no results.","Brak wyników wyszukiwania."
"up to %s","aż do %s"
