"Base URL","Basis URL"
"Configuration","Konfigurasi"
"Confirm Password","Konfirmasi sandi"
"Continue","Selanjutnya"
"Download","Unduh"
"Email Address","Alamat Email"
"Enable Charts","Aktifkan Grafik"
"File System","Berkas Sistem"
"First Name","Nama Depan"
"Last Name","Nama Belakang"
"Locale","Lokal"
"Password","Sandi"
"Password Confirmation","Konfirmasi Kata Sandi"
"Personal Information","Informasi perseorangan"
"Report All Bugs","Laporkan semua bugs"
"Required Fields","Bidang yang Diperlukan"
"Secure Base URL","URL Dasar Aman"
"User Name","Nama Pengguna"
"User Password","Kata sandi pengguna"
"Username","Nama pengguna"
