"Action","Tindakan"
"Add to Cart","Tambahkan ke Keranjang"
"Add to Compare","Tambahkan untuk Membandingkan"
"Add to Wishlist","Tambahkan ke Daftar Keinginan"
"Any","Apa saja"
"Are you sure?","Apakah Anda Yakin?"
"Bestsellers","Penjualan terbaik"
"Carts","Keranjang"
"Compared Products Grid Template","Dibandingkan Produk Grid Template"
"Compared Products List Template","Bandingkan Daftar Produk Template"
"Coupons","Kupon"
"Coupons Usage Report","Laporan Penggunaan Kupon"
"Created At","Dibuat di"
"Customer","Pelanggan"
"Customer Name","Nama Pelanggan"
"Customers","Pelanggan"
"Customers Report","Laporan Pelanggan"
"Customers Reviews","Ulasan pelanggan"
"Customers by Number of Orders","Pelanggan dengan Jumlah Pesanan"
"Customers by Orders Total","Pelanggan menurut Pesanan Total"
"Customers by number of orders","Pelanggan dengan jumlah pesanan"
"Day","Hari"
"Description","Deskripsi"
"Detail","Rincian"
"Downloads","Unduhan"
"Empty Rows","Baris Kosong"
"Filter","Saring"
"First Name","Nama Depan"
"From","Dari"
"General","Umum"
"Guest","Tamu"
"Hits","Permintaan"
"ID","Nomor"
"IP Address","Alamat IP"
"Invoiced","Faktur"
"Items in Cart","Barang dalam Keranjang"
"Last Name","Nama Belakang"
"Last Review","Ulasan Terakhir"
"Link","Tautan"
"List of Products Recently Viewed by Visitor","Daftar Produk Baru Dilihat oleh Pengunjung"
"Low Stock","Persediaan sedikit"
"Low stock","Persediaan sedikit"
"Month","Bulan"
"Most Viewed","Paling banyak Dilihat"
"Name","Nama"
"New Accounts","Akun Baru"
"No","Tidak"
"Number of Items","Jumlah item"
"Number of Products to display","Jumlah Produk yang akan ditampilkan"
"Order Status","Status pesanan"
"Orders","Pesanan"
"Out of stock","Persediaan Habis"
"Period","Periode"
"Price","Harga"
"Product Name","Nama Produk"
"Product Reviews","Ulasan Produk"
"Products","Produk"
"Products Report","Laporan Produk"
"Products Reviews","Ulasan Produk"
"Products in carts","Produk dalam keranjang"
"Purchases","Pembelian"
"Recently Compared","Baru saja Dibanding"
"Recently Compared Products","Baru Dibanding Produk"
"Recently Viewed","Baru saja Dilihat"
"Recently Viewed Products","Produk yang baru saja dilihat"
"Recently Viewed/Compared Products","Produk yang Baru Dilihat/Dibanding"
"Refresh Statistics","Segarkan Statistik"
"Refunds","Pengembalian dana"
"Report","Laporan"
"Reports","Laporan"
"Results","Hasil"
"Revenue","Pendapatan"
"Review","Ulasan"
"Reviews","Ulasan"
"Sales","Penjual"
"Search Query","Parameter Pencarian"
"Search Terms","Istilah Pencarian"
"Shipping","Pengiriman"
"Shopping Cart","Keranjang Belanja"
"Show Actual Values","Tunjukkan Nilai Aktual"
"Show Report","Tampilkan Laporan"
"Show for Current","Tampilkan untuk Saat ini"
"Specified","Ditentukan"
"Statistics","Statistik"
"Subtotal","Total bagian"
"Tax","Pajak"
"Title","Judul"
"To","Ke"
"Total","Jumlah"
"Total Ordered Report","Total Laporan Pemesanan"
"Updated At","Diperbarui pada"
"Viewed Products Grid Template","Dilihat Produk Grid Template"
"Viewed Products List Template","Dilihat Daftar Produk Template"
"Year","Tahun"
"Yes","Ya"
