"Accepted Currency","Mata uang yang diterima"
"Authorize Only","Hanya otorisasi"
"Authorize and Capture","Otorisasi dan Tangkapan"
"Cancel","Batal"
"Credit Card Types","Tipe Kartu Kredit"
"Credit Card Verification","Verivikasi Kartu Kredit"
"Debug","Menulusuri"
"Email Customer","Email pelanggan"
"Enabled","Diaktifkan"
"Invalid amount for capture.","Jumlah tidak valid untuk ditangkap."
"Invalid amount for refund.","Jumlah pengembalian dana tidak valid."
"Maximum Order Total","Total Pesanan Maksimal"
"Merchant's Email","Email Penjual"
"Minimum Order Total","Total Pesanan minimum"
"New Order Status","Status Pesanan Baru"
"Payment Action","Tindakan Pembayaran"
"Payment capturing error.","Kesalahan Pembayaran ditangkap."
"Payment from Applicable Countries","Pembayaran dari Negara yang Berlaku"
"Payment from Specific Countries","Pembayaran dari Negara-Negara tertentu"
"Payment refunding error.","Pengembalian uang pembayaran error."
"Payment voiding error.","Membatalkan pembayaran error."
"Sort Order","Urutan"
"Test Mode","Mode Uji"
"Title","Judul"
"Transaction Key","Kunci Transaksi"
"authorize","izinkan"
"authorize and capture","izinkan dan tangkap"
"capture","tangkap"
"failed","gagal paham"
"refund","pengembalian dana"
"successful","sukses besar"
"void","kosong"
