"--Please Select--","--Silahkan pilih--"
"Accepted Currency","Mata uang yang diterima"
"Authorize.net Direct Post","Authorize.net Posting langsung"
"Card Verification Number","Nomor Verifikasi Kartu"
"Card Verification Number Visual Reference","Nomor Referensi Visual Verifikasi Kartu"
"Close","Tutup"
"Credit Card Information","Informasi Kartu Kredit"
"Credit Card Number","Nomor Kartu Kredit"
"Credit Card Type","Tipe Kartu Kredit"
"Credit Card Types","Tipe Kartu Kredit"
"Credit Card Verification","Verivikasi Kartu Kredit"
"Debug","Menulusuri"
"Email Customer","Email pelanggan"
"Enabled","Diaktifkan"
"Expiration Date","Tanggal kadaluarsa"
"Gateway URL","Pintu Masuk URL"
"Maximum Order Total","Total Pesanan Maksimal"
"Merchant MD5","Penjual MD5"
"Merchant's Email","Email Penjual"
"Minimum Order Total","Total Pesanan minimum"
"New Order Status","Status Pesanan Baru"
"Payment Action","Tindakan Pembayaran"
"Payment from Applicable Countries","Pembayaran dari Negara yang Berlaku"
"Payment from Specific Countries","Pembayaran dari Negara-Negara tertentu"
"Sort Order","Urutan"
"Test Mode","Mode Uji"
"Title","Judul"
"Transaction Key","Kunci Transaksi"
"What is this?","Apakah ini?"
