"Add","Tambahkan"
"Allow Gift Messages for Order Items","Izinkan pesan hadiah untuk pesan barang"
"Allow Gift Messages on Order Level","Izinkan pesan hadiah di tingkat pesanan"
"Are you sure?","Apakah Anda Yakin?"
"Cancel","Batal"
"Do you have any gift items in your order?","Apakah anda memiliki item hadiah dalam pesanan?"
"Edit","Ubah"
"From","Dari"
"Gift Message","Pesan hadiah"
"Gift Options","Pilihan hadiah"
"Gift Options for Individual Items","Pilihan hadiah untuk barang perorangan"
"Message","Pesan"
"No","Tidak"
"OK","Ok"
"Save Gift Message","Simpan Pesan Hadiah"
"To","Ke"
"Unknown entity type","Jenis entitas tidak diketahui"
"Use config","Gunakan config"
"Yes","Ya"
