"Allow for Guests","Izinkan untuk tamu"
"Back","Kembali"
"Email Address","Alamat Email"
"Email Address:","Alamat surel:"
"Email Templates","Template Email"
"Email to a Friend","Email ke teman"
"Email:","E-mail:"
"Enabled","Diaktifkan"
"Invalid Sender Information","Informasi pengirim tidak valid"
"Limit Sending By","Batas mengirim oleh"
"Message:","Pesan:"
"Name","Nama"
"Select Email Template","Pilih template Email"
"Send Email","Kirim Email"
"Some emails were not sent.","Beberapa email tidak terkirim."
