"-- Please Select --","-- Tolong Pilih --"
"1 column","1 kolom"
"2 columns with left bar","2 kolom dengan bar kiri"
"2 columns with right bar","2 kolom dengan bar kanan"
"3 columns","3 kolom"
"About the calendar","Tentang kalender"
"Account","Akun"
"Allow","Izinkan"
"Close","Tutup"
"Close Window","Tutup Jendela"
"Default welcome msg!","Pesan selamat datang default!"
"Empty","Kosong"
"Go Today","Pergi hari ini"
"JavaScript seems to be disabled in your browser.","Javascript tampaknya dinonaktifkan di browser anda."
"Left Column","Kolom kiri"
"Next","Lanjut"
"Previous","Sebelumnya"
"Report All Bugs","Laporkan semua bugs"
"Right Column","Kolom kanan"
"Search","Pencarian"
"Show","Menunjukkan"
"View All","Lihat Semua"
"per page","per halaman"
