"Catalog","Katalog"
"Click for price","Tekan untuk harga"
"Coupons/Discounts","Kupon/Diskon"
"Customer Order Status Notification","Pemberitahuan Status Pesanan Pelanggan"
"Discount","Diskon"
"Enable RSS","Aktifkan RSS"
"From:","Dari:"
"Gift Message","Pesan hadiah"
"Grand Total","Total keseluruhan"
"Low Stock Products","Stok Produk Sedikit"
"Message:","Pesan:"
"New Orders","Pesanan Baru"
"New Products","Produk Baru"
"Order","Pesan"
"Pending product review(s)","Ulasan(s) produk tertunda"
"Shipping &amp; Handling","Pengiriman &amp; Penanganan"
"Special Products","Produk Spesial"
"Subtotal","Total bagian"
"Tax","Pajak"
"To:","Untuk:"
"Top Level Category","Kategori Tingkat Atas"
"Wishlist","Daftar Keinginan"
