"Active","Aktif"
"Add New Attribute","Tambahkan Perlengkapan Baru"
"Are you sure?","Apakah Anda Yakin?"
"Attribute","Atribut"
"Attribute Set","Aturan Atribut"
"Attributes","Atribut"
"Catalog","Katalog"
"Confirm","Memastikan"
"Delete","Hapus"
"Expires","Kadaluarsa"
"Items","Barang"
"Manage Items","Kelola pilihan"
"No","Tidak"
"Product Name","Nama Produk"
"Remove","Menghapus"
"Synchronize","Sinkronisasi"
"Yes","Ya"
