"-- Please Select --","-- Tolong Pilih --"
"Add New Class","Tambahkan Kelas Baru"
"Add New Tax Rate","Tambahkan Tarif Pajak Baru"
"Add New Tax Rule","Tambahkan Aturan Pajak Baru"
"After Discount","Setelah Pemotongan Harga"
"Apply Discount On Prices","Terapkan pemotongan Harga"
"Apply Tax On","Terapkan Pajak aktif"
"Are you sure you want to do this?","Apakah anda yakin ingin melakukan ini?"
"Back","Kembali"
"Before Discount","Sebelum Pemotongan Harga"
"Calculation Settings","Pengaturan Perhitungan"
"Code","Kode"
"Country","Negara"
"Custom price if available","Custom harga jika tersedia"
"Customer Tax Class","Kelas Pelanggan Pajak"
"Customer Tax Classes","Kelas Pajak Pelanggan"
"Default Country","Negara Default"
"Delete Rate","Hapus Nilai"
"Delete Rule","Hapus aturan"
"Display Full Tax Summary","Tampilkan Ringkasan Pajak Penuh"
"Display Prices","Harga tampilan"
"Display Product Prices In Catalog","Tampilkan Harga Produk Di Katalog"
"Display Shipping Amount","Tampilan Jumlah Pengiriman"
"Display Shipping Prices","Tampilkan Harga Pengiriman"
"Display Zero Tax Subtotal","Tampilkan jumlah Total Pajak Nol"
"Edit Rule","Ubah Aturan"
"Edit Tax Rate","Ubah Tarif Pajak"
"Enable Cross Border Trade","Aktifkan Perdagangan Lintas Batas"
"Excl. Tax","Tidak Termasuk Pajak"
"Excluding Tax","Tidak termasuk Pajak"
"Export Tax Rates","Tarif Pajak Ekspor"
"Import Tax Rates","Tarif Pajak Impor"
"Incl. Tax","Termasuk Pajak"
"Including Tax","Termasuk Pajak"
"Including and Excluding Tax","Termasuk dan Tidak termasuk Pajak"
"Invalid file upload attempt","Upaya upload unggahan tidak sah"
"Manage Tax Rates","Mengelola Tarif Pajak"
"Manage Tax Rules","Mengelola Aturan Pajak"
"Name","Nama"
"New Rule","Aturan Baru"
"New Tax Rate","Tarif Pajak Baru"
"No","Tidak"
"None","Kosong"
"Orders, Invoices, Credit Memos Display Settings","Pesanan, Faktur, Setelan Tampilan Memo Kredit"
"Original price only","Harga Asli Saja"
"Price Display Settings","Pengaturan Tampilan Harga"
"Priority","Prioritas"
"Product Tax Class","Kelas Pajak Produk"
"Range From","Berkisar dari"
"Range To","Berkisar Ke"
"Rate","Menilai"
"Rate Percent","Tingkat Persen"
"Reset","Atur ulang"
"Row Total","Jumlah baris"
"Sales","Penjual"
"Save Rate","Simpan Nilai"
"Save Rule","Simpan Aturan"
"Save and Continue Edit","Simpan dan Lanjutkan Edit"
"Shopping Cart Display Settings","Pengaturan Tampilan Keranjang Belanja"
"Sort Order","Urutan"
"State","Negara"
"State/Region","Negara bagian/wilayah"
"Tax","Pajak"
"Tax Calculation Based On","Perhitungan Pajak Berdasarkan"
"Tax Calculation Method Based On","Metode Perhitungan Pajak Berdasarkan"
"Tax Class for Shipping","Kelas Pajak untuk Pengiriman"
"Tax Classes","Kelas Pajak"
"Tax Identifier","Pengenal pajak"
"Tax Rate","Nilai Pajak"
"Tax Rate Information","Informasi Tarif Pajak"
"Tax Rule Information","Informasi Peraturan Pajak"
"Tax Rules","Aturan Pajak"
"Tax Section","Bagian pajak"
"Tax Titles","Judul pajak"
"Tax rates at the same priority are added, others are compounded.","Tarif pajak pada prioritas yang sama ditambahkan, yang lain ditambah."
"The tax rate has been imported.","Tarif pajak telah diimpor."
"The tax rule has been deleted.","Aturan pajak telah dihapus."
"This rule no longer exists.","Aturan ini tidak tersedia lagi."
"Total","Jumlah"
"Unit Price","Satuan Harga"
"Yes","Ya"
