"-- Please Select --","-- Tolong Pilih --"
"Attribute Code","Kode Atribut"
"Attribute Label","Lebel atribut"
"Begin data validation","Mulai validasi data"
"Cannot get autoincrement value","Tidak bisa mendapatkan nilai autoincrement"
"Check Data","Periksa Data"
"Customers","Pelanggan"
"Delete Entities","Menghapus entitas"
"Entity Type","Jenis Entity"
"Entity is unknown","Entitas tidak diketahui"
"Export","Expor"
"Export File Format","Ekspor Format File"
"Export Settings","Pengaturan Ekspor"
"File is valid! To start import process press ""Import"" button","File valid! Untuk memulai proses impor tekan tombol ""Impor"""
"Filter","Saring"
"From","Dari"
"Import","Impor"
"Import Behavior","Mengimpor Tindakan"
"Import Settings","Pengaturan Impor"
"Import/Export","Impor/Ekspor"
"Please fix errors and re-upload file or simply press ""Import"" button to skip rows with errors","Perbaiki kesalahan dan unggah ulang berkas atau cukup tekan tombol ""Impor"" untuk melewati baris dengan kesalahan"
"Products","Produk"
"Select File to Import","Pilih File untuk Mengimpor"
"Status","Keadaan"
"There are no product types available for export","Tidak ada jenis produk yang tersedia untuk diekspor"
"To","Ke"
"Unknown attribute filter type","Jenis filter atribut tak dikenal"
