"Advanced Search","Pencarian lanjutan"
"All","Semua"
"Catalog Advanced Search","Pencarian Lanjutan Katalog"
"Catalog Search","Cari katalog"
"Don't see what you're looking for?","Tidak tahu apa yang sedang Anda cari?"
"Go to Home Page","Pergi ke Halaman Beranda"
"Grid","Kisi-kisi"
"Home","Beranda"
"List","Daftar"
"Maximum Query Length","Panjang Permintaan Maksimum"
"Minimal Query Length","Panjang Permintaan Minimal"
"No","Tidak"
"Popular Search Terms","Istilah Pencarian Popular"
"Relevance","Relevansi"
"Results","Hasil"
"Search","Pencarian"
"Search Settings","Cari Pengaturan"
"Search Terms","Istilah Pencarian"
"Search entire store here...","Cari seluruh toko disini..."
"There are no search terms available.","Tidak ada istilah pencarian yang tersedia."
"Yes","Ya"
