"Action","Tindakan"
"Are you sure you want to delete the selected backup(s)?","Apakah anda yakin ingin menghapus cadangan yang telah dipilih?"
"Backups","Backup"
"Create Backup","Membuat backup"
"Database Backup","Backup Database"
"Database and Media","Database dan Media file"
"Database and Media Backup","Backup Database dan Media"
"Download","Unduh"
"Enable Scheduled Backup","Aktifkan Backup Terjadwal"
"Frequency","Frekuensi"
"Maintenance Mode","Mode Pemeliharaan file"
"Name","Nama"
"Rollback","Putar kembali"
"Start Time","Waktu mulai"
"System","Sistem"
"System (excluding Media)","Sistem (tidak termasuk Media)"
"System Backup","Sistem Backup"
"Time","Waktu"
"Type","Jenis"
