"Add","Tambahkan"
"Apply","Terapkan"
"Conditions Combination","Ketentuan Kombinasi"
"Open Chooser","Buka pilihan"
"Remove","Menghapus"
"contains","isi"
"does not contains","tidak ada isi"
"equals or greater than","sama atau lebih dari"
"equals or less than","sama atau kurang dari"
"for","untuk"
"for greater than","untuk lebih dari"
"for or greater than","untuk atau lebih dari"
"found","ditemukan"
"from","dari"
"greater than","lebih dari"
"is","adalah"
"is not","tidak"
"is not one of","bukan salah satu"
"is one of","adalah salah satu"
"less than","kurang dari"
"not found","tidak ditemukan"
"not from","bukan dari"
"was","itu"
"was not","bukan itu"
