"Actions","Tindakan"
"Active","Aktif"
"Add New Rule","Tambahkan Aturan Baru"
"Apply","Terapkan"
"Apply Rules","Terapkan Aturan"
"Attribute Set","Aturan Atribut"
"Catalog","Katalog"
"Catalog Price Rule","Aturan harga katalog"
"Catalog Price Rules","Aturan Harga katalog"
"Category","Kategori"
"Conditions","Kondisi"
"Conditions Combination","Ketentuan Kombinasi"
"Customer Groups","Grup pelanggan"
"Date From","Dari Tanggal"
"Date To","Ke Tanggal"
"Description","Deskripsi"
"Discount Amount","Jumlah Diskon"
"Edit Rule","Ubah Aturan"
"Expiration Date","Tanggal kadaluarsa"
"General Information","Informasi Umum"
"ID","Nomor"
"Inactive","Tidak aktif"
"New Rule","Aturan Baru"
"No","Tidak"
"Options","Pilihan"
"Priority","Prioritas"
"Product Attribute","Atribut Produk"
"Promotions","Promosi"
"Rule Information","Peraturan Informasi"
"Rule Name","Nama Aturan"
"Save and Apply","Simpan dan terapkan"
"Save and Continue Edit","Simpan dan Lanjutkan Edit"
"Start Date","Mulai tanggal"
"Status","Keadaan"
"This rule no longer exists.","Aturan ini tidak tersedia lagi."
"Type","Jenis"
"Website","Situs web"
"Websites","Situs Web"
"Yes","Ya"
