"1 Day Freight","1 Hari Pengiriman"
"2 Day","2 Hari"
"2 Day AM","2 Hari AM"
"2 Day Freight","2 Hari Pengiriman"
"2nd Day Air AM","2 hari udara AM"
"3 Day Freight","3 Hari Pengiriman"
"3 Day Select","3 hari yang dipilih"
"Access ID","Mengakses Id"
"Access License Number","Nomor lisensi akses"
"Account ID","ID Akun"
"Account Number","Nomor akun"
"Adult","Dewasa"
"Adult Signature Required","Tanda tangan dewasa diperlukan"
"Allowed Methods","Metode yang diizinkan"
"Break bulk express","Istirahat massal"
"Business Service Center","Layanan Bisnis Di Pusat"
"Calculate Handling Fee","Menghitung biaya penanganan"
"Canada Standard","Standar kanada"
"Cannot retrieve shipping rates","Tidak dapat mengambil tarif pengirim"
"Centimeters","Sentimeter"
"Commercial","Komersial"
"Configuration","Konfigurasi"
"Container","Wadah"
"Customer Packaging","Kemasan pelanggan"
"Customer Supplied Package","Paket yang di sediakan pelanggan"
"DHL service is not available at %s date","Layanan DHL tidak tersedia pada tanggal %s"
"Debug","Menulusuri"
"Delivery Confirmation","Konfirmasi pengiriman"
"Depth","Kedalaman"
"Destination Type","Jenis tujuan"
"Development","Pengembangan"
"Direct","Langsung"
"Displayed Error Message","Tampilkan pesan kesalahan"
"Documents","Dokumen"
"Domestic economy select","Pilih ekonomi dalam negeri"
"Domestic express","Mengantar di dalam negeri"
"Dropoff","Penurunan"
"Easy shop","Belanja mudah"
"Economy select","Pilih ekonomi"
"Empty response","Respon kosong"
"Enable Negotiated Rates","Aktifkan tarif negosiasi"
"Enabled for Checkout","Diaktifkan untuk Periksa"
"Europack","Paket euro"
"Europe First Priority","Prioritas Pertama Eropa"
"Express 10:30","Mengantar 10:30"
"Express 12:00","Mengantar 12:00"
"Express 9:00","Mengantar 9:00"
"Express easy","Mudah cepat"
"Express envelope","Amplop pengantar"
"Express worldwide","Mengantar ke seluruh dunia"
"FedEx 10kg Box","FedEx 10kg Kotak"
"FedEx 25kg Box","FedEx 25kg Kotak"
"FedEx Box","Kotak FedEx"
"FedEx Envelope","FedEx Amplop"
"FedEx Tube","FedEx Tabung"
"First Overnight","Pertama Semalam"
"First-Class Mail International Large Envelope","Amplop Besar Kelas Pertama Surat Internasional"
"First-Class Mail International Letter","Surat Kelas Pertama Surat Internsional"
"First-Class Mail International Postcard","Kartu Pos Kelas Pertama Surat Internsional"
"First-Class Mail Large Envelope","Amplop Kelas Satu Besar"
"First-Class Mail Large Postcards","Kartu Pos Kelas Satu Kartu Pos Besar"
"First-Class Mail Letter","Surat Kelas Pertama"
"First-Class Mail Postcards","Kartu Pos Surat Kelas Satu"
"First-Class Package International Service","Paket Layanan Kelas Pertama Internasional"
"First-Class Package Service","Layanan Paket Kelas Pertama"
"First-Class Package Service - Retail","Layanan Paket Kelas Satu - Ritel"
"First-Class Package Service Hold For Pickup","Layanan Paket Kelas Satu Tahan Untuk Pickup"
"Flat","Datar"
"Flat-Rate Envelope","Amplop Datar"
"Free Method","Cara bebas"
"Freight","Barang"
"Freight worldwide","Pengiriman di seluruh dunia"
"Gateway URL","Pintu Masuk URL"
"Gateway XML URL","Gateway URL XML"
"Gift","Hadiah"
"Girth","Ketebalan"
"Global Express Guaranteed (GXG)","Terjamin Global Cepat (GXG)"
"Global Express Guaranteed Document","Dokumen Global Cepat Terjamin"
"Global Express Guaranteed Non-Document Non-Rectangular","Global Cepat Dijamin Bukan Dokumen Yang Persegi Panjang"
"Global Express Guaranteed Non-Document Rectangular","Global Cepat Terjamin Bukan Dokumen Segi Empat"
"Globalmail business","Global bisnis email"
"Ground","Tanah"
"Ground Commercial","Komersial tanah"
"Ground Residential","Tanah perumahan"
"Handling Applied","Penanganan terapan"
"Handling Fee","Biaya penanganan"
"Height","Tinggi"
"Home Delivery","Pengiriman ke Rumah"
"Inches","Inci"
"Indirect","Tidak langsung"
"International Economy","Ekonomi Internasional"
"International First","Internasional Pertama"
"International Ground","Internasional Tanah"
"International Priority","Prioritas Internasional"
"Intl Economy Freight","Internasional Ekonomi Angkutan"
"Intl Priority Freight","Intl Prioritas Angkutan"
"Jetline","Jalur jet"
"Jumbo box","Kotak jumbo"
"Key","Kunci"
"Kilograms","Kilogram"
"Large","Besar"
"Large Express Box","Kotak express besar"
"Length","Panjang"
"Letter","Surat"
"Live","Hidup"
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)","Maksimum Berat Paket (Silahkan konsultasikan dengan operator pelayaran untuk maksimum didukung berat pengiriman)"
"Medical express","Mengantar medis"
"Medium Express Box","Kotak medium express"
"Merchandise","Barang Dagangan"
"Meter Number","Nomor Meter"
"National Freight","Nasional barang"
"Next Day Air","Hari berikutnya udara"
"Next Day Air Early AM","Hari berikutnya udara awal AM"
"Next Day Air Early AM Letter","Selanjutnya hari udara surat awal AM"
"Next Day Air Intra (Puerto Rico)","Hari berikutnya udara intra (puerto rico)"
"Next Day Air Letter","Surat udara hari berikutnya"
"Next Day Air Saver","Hari berikutnya penghemat udara"
"Next Day Air Saver Letter","Surat penghemat udara hari berikutnya"
"No","Tidak"
"No packages for request","Tidak ada paket permintaan"
"Non Documents","Tidak ada dokumen"
"Non documents","Tidak ada dokumen"
"Non-rectangular","Bukan-Persegi Empat"
"None","Kosong"
"Not Required","Tidak Diperlukan"
"Order","Pesan"
"Other","Lain"
"Others","Lainnya"
"Package","Paket"
"Packages Request Type","Jenis Permintaan Paket"
"Packaging","Kemasan"
"Parcel","Paket"
"Password","Sandi"
"Please make sure to use only digits here. No dashes are allowed.","Pastikan untuk hanya menggunakan digit di sini. Tidak ada garis yang diizinkan."
"Pounds","Pound"
"Priority Mail","Email Prioritas"
"Priority Mail Express","Prioritas Mail Express"
"Priority Mail Express Flat Rate Envelope","Surat Prioritas Express Amplop Tingkat Datar"
"Priority Mail Express Flat Rate Envelope Hold For Pickup","Amplop Prioritas Pesan Ekspres Rating Datar Tahan Untuk Memilih"
"Priority Mail Express Hold For Pickup","Prioritas Mail Express Tahan Untuk Pickup"
"Priority Mail Express International","Prioritas Pesan Cepat Internasional"
"Priority Mail Express International Flat Rate Envelope","Amplop Datar Prioritas Surat Cepat Internasional"
"Priority Mail Express International Legal Flat Rate Envelope","Amplop Datar Resmi Prioritas Surat Cepat Internasional"
"Priority Mail Express International Padded Flat Rate Envelope","Amplop Datar Empuk Prioritas Surat Internasional"
"Priority Mail Express Legal Flat Rate Envelope","Amplop Prioritas Pesan Ekspres Resmi Menilai Datar"
"Priority Mail Express Legal Flat Rate Envelope Hold For Pickup","Amplop Prioritas Resmi Menilai Datar Tahan untuk Memilih"
"Priority Mail Express Padded Flat Rate Envelope","Amplop Datar Prioritas Surat Cepat Empuk"
"Priority Mail Express Padded Flat Rate Envelope Hold For Pickup","Amplop Datar Prioritas Surat Cepat Empuk Tahan Untuk Pickup"
"Priority Mail Express Sunday/Holiday Delivery","Prioritas Mail Express Minggu/Hari Libur"
"Priority Mail Express Sunday/Holiday Delivery Flat Rate Boxes","Kotak Datar Prioritas Surat Cepat Minggu/Libur"
"Priority Mail Express Sunday/Holiday Delivery Flat Rate Envelope","Prioritas surat Cepat Minggu/Libur Pengiriman Amplop Rata"
"Priority Mail Express Sunday/Holiday Delivery Legal Flat Rate Envelope","Prioritas Surat Cepat Hari Minggu/Libur Pengiriman Amplop Tarif Rata-Rata"
"Priority Mail Express Sunday/Holiday Delivery Padded Flat Rate Envelope","Amplop Datar Prioritas Surat Cepat Empuk Minggu/Libur Pengiriman"
"Priority Mail Flat Rate Envelope","Amplop Lebar Email Prioritas"
