"Action","Tindakan"
"Add Sitemap","Tambah sitemap"
"Always","Selalu"
"CMS Pages Options","Pilihan halaman CMS"
"Categories Options","Pilihan kategori"
"Daily","Harian"
"Edit Sitemap","Ubah situs peta"
"Enabled","Diaktifkan"
"Error Email Recipient","Kesalahan Email Penerima"
"Error Email Sender","Kesalahan Email Pengirim"
"Error Email Template","Kesalahan Template Email"
"Filename","Nama berkas"
"Frequency","Frekuensi"
"Generate","Pembuatan"
"Generation Settings","Pengaturan umum"
"Hourly","Sejam"
"ID","Nomor"
"Link for Google","Link untuk google"
"Monthly","Bulanan"
"Never","Jangan pernah"
"New Sitemap","Situs peta baru"
"Path","Rute"
"Priority","Prioritas"
"Products Options","Pilihan produk"
"Sitemap","Situ peta"
"Sitemap generate Warnings","Peringatan umum sitemap"
"Start Time","Waktu mulai"
"Store View","Tampilan toko"
"The priority must be between 0 and 1.","Prioritas harus berada diantara 0 dan 1."
"This sitemap no longer exists.","Situs map ini tidak ada lagi."
"Weekly","Mingguan"
"Yearly","Tahunan"
