"--Please Select--","-- Selectați --"
"API Login ID","ID Logare API"
"Accepted Currency","Valuta Acceptată"
"Amount of %s approved by payment gateway. Transaction ID: ""%s"".","Suma de %s aprobată de portalul de plată. ID Tranzacție: ""%s""."
"Authorize.net Direct Post","Postare Directă Authorize.net"
"Card Verification Number","Număr verificare card"
"Card Verification Number Visual Reference","Referință vizuală număr verificare card"
"Close","Inchide"
"Credit Card Information","Informații card de credit"
"Credit Card Number","Număr card de credit"
"Credit Card Type","Tip card de credit"
"Credit Card Types","Tipuri Card Credit"
"Credit Card Verification","Verificare Card Credit"
"Debug","Depanare"
"Email Customer","E-mail Client"
"Enabled","Activat"
"Expiration Date","Dată expirare"
"Gateway URL","URL Portal"
"Maximum Order Total","Total Maxim Comandă"
"Merchant MD5","MD5 Comerciant"
"Merchant's Email","E-mail Comerciant"
"Minimum Order Total","Total Minim Comandă"
"New Order Status","Status comandă nou"
"Order saving error: %s","Eroare salvare comandă: %s"
"Payment Action","Acțiune de plată"
"Payment authorization error.","Eroare autorizare plată."
"Payment authorization error. Transacion id is empty.","Eroare autorizare plată. Id-ul tranzacției e gol."
"Payment error. Order was not found.","Eroare plată. Comanda nu a fost găsită."
"Payment from Applicable Countries","Plată din țările aplicabile"
"Payment from Specific Countries","Plată din țări specifice"
"Please, choose payment method","Vă rugăm, selectați metoda de plată"
"Response hash validation failed. Transaction declined.","Eșec la validarea hash-ului răspunsului. Tranzacție refuzată."
"Sort Order","sortați comanda"
"Test Mode","Mod test"
"The order has been created.","Comanda a fost creată."
"There was an error processing your order. Please contact us or try again later.","Eroare la procesare comenzii dvs. Vă rugăm să ne contactați sau să încercați mai târziu."
"Title","Titlu"
"Transaction Key","Cheie Tranzacție"
"What is this?","Ce este aceasta?"
"You will be required to enter your payment details before you place an order.","Va fi necesar să introduceți detaliile plății dvs. înainte de a plasa o comandă."
