"Access denied.","Access interzis."
"Can not find webservice adapter.","Nu se poate găsi adaptorul pentru serviciul web."
"Client Session Timeout (sec.)","Așteptare Sesiune Client (sec.)"
"Default Response Charset","Set Caractere Răspuns Implicit"
"Email","E-mail"
"Enable WSDL Cache","Activare Cache WSDL"
"First Name is required field.","Prenumele este un câmp obligatoriu."
"General Settings","Setări generale"
"Invalid webservice adapter specified.","Adaptor serviciu web specificat invalid."
"Invalid webservice handler specified.","Handler serviciu web specificat invalid."
"Last Name is required field.","Numele este un câmp obligatoriu."
"Magento Core API","API Nucleu OpenMage"
"Please enter a valid email.","Introduceți o adresă de e-mail validă."
"SOAP/XML-RPC - Roles","SOAP/XML-RPC - Roluri"
"SOAP/XML-RPC - Users","SOAP/XML-RPC - Utilizatori"
"Unable to login.","Imposibil de logat."
"User Name","Nume Utilizator"
"User Name is required field.","Numele Utilizatorului e câmp obligatoriu."
"WS-I Compliance","Compatibilitate WS-I"
"Web Services","Servicii Web"
"Your account has been deactivated.","Contul dvs. a fost dezactivat."
