"Currency","Monedă"
"Custom currency symbols were applied successfully.","Simboluri personalizate valuta aplicate cu succes."
"Rates","Cote"
"Save Currency Symbols","Salvare Simboluri Valutare"
"Symbol","Simbol"
"Symbols","Simboluri"
"System","Sistem"
"Use Standard","Utilizare Implicit"
