"Allow Qty Below 0","السماح بالكمية 0"
"Allow Qty Below 0 and Notify Customer","السماح بكمية تحت ال 0 و أعلام العميل"
"By Fixed value","بقيمة ثابتة"
"By Percentage","بنسبة مؤية"
"Decrease Stock When Order is Placed","ازل من المخزون عند استلام الطلب الجديد"
"In Stock","متوفربالمخزون"
"Out of Stock","غير متوفربالمخزون"
"Rule price","السعر الاساسى"
"Stock Options","خيارات المخزون"
"The requested quantity for ""%s"" is not available.","الكمية المطلوبة لـ ""%s"" لم تعد موجودة"
"To Fixed Value","الى قيمة ثابته"
"To Percentage","الى نسبة مؤية"
"Update the Product","تحديث هذا المنتج"
