"Comment","تعليق"
"Contact Form","نموذج الاتصال"
"Contact Information","بيانات الاتصال"
"Contact Us","اتصل بنا"
"Contacts","المتصلين"
"Email Options","خيارات البريد الالكترونى"
"Email Sender","مرسل الرسالة"
"Email Template","قوالب الرسالة"
"Enable Contact Us","تفعيل اتصل بنا"
"Send Emails To","ارسل رسائل الى"
"Telephone","هاتف"
"Unable to submit your request. Please, try again later","لا يمكن تنفيذ طلبك الان , من فضلك حاول لاحقا"
