"Add New Page","إضافة صفحة جديدة"
"Block Title","حجب العنوان"
"Custom Theme","قالب مخصص"
"Delete Page","حذف الصفحة"
"Edit Page","تحرير الصفحة"
"Edit Page '%s'","تحرير الصفحة '%s'"
"Identifier","معرف"
"Keywords","كلمات مفتاحية"
"Layout","تخطيط"
"New Page","صفحة جديدة"
"Page Information","بيانات الصفحة"
"Page Status","حالة الصفحة"
"Page Title","عنوان الصفحة"
"Save Page","حفظ الصفحة"
