"Add New Rule","اضف قاعدة جديدة"
"Apply","نفذ"
"Apply Rules","طبق القواعد"
"By Fixed Amount","بكمية ثابتة"
"Catalog Price Rule","قاعدة الاسعار فى الكتالوج"
"Catalog Price Rules","قواعد الاسعار فى الكتالوج"
"Conditions","الحالات"
"Customer Groups","مجموعات العملاء"
"Date Expire","تاريخ الانتهاء"
"Date From","تاريخ البداية"
"Date Start","بداية بتاريخ"
"Date To","حتى تاريخ"
"Edit Rule","حرر قاعدة"
"Edit Rule '%s'","حرر قاعدة '%s'"
"From Date","من تاريخ"
"New Rule","قاعدة جديدة"
"Priority","الاولوية"
"Rule Name","أسم القاعدة"
"Save and Apply","احفظ و طبق"
"To Date","حتى تاريخ"
"Update product's %s %s: %s","تحديث بيانات المنتج %s %s: %s"
