"Done","انتهى"
"ETA: %s","الزمن المتبقى: %s"
"Less than a minute","اقل من دقيقة"
"Memory Used: %s","سعة الذاكرة المستخدمة: %s"
"Starting %s :: %s","يبدأ فى %s :: %s"
"Total records: %s","اجمالى البيانات المسجلة: %s"
"hour","ساعة"
"hours","ساعات"
"minute","دقيقة"
"minutes","دقائق"
