"Add Recipient","اضف صديقا"
"Allow for Guests","السماح للزوار"
"Email Address","البريد الإلكتروني"
"Limit Sending By","حدد الارسال بـ"
"Max Products Sent in 1 Hour","اقصى عدد للمنتجات يمكن ارسالة بالساعة"
"Max Recipients","اقصى عدد للمستقبلين"
"Recipient:","المستقبل:"
"Remove Email","احذف الايميل"
"Send product to a friend","ارسل منتجا لصديق"
"Sender:","المرسل:"
