"(ver. %s)","(إصدار %s)"
"Close Window","أغلق النافذه"
"Empty","فارغ"
"Help Us to Keep Magento Healthy","ساعدنا في المحافظة على سلامة ماجينتو"
"Interface Language","لغة الواجهه"
"Report All Bugs","الإبلاغ عن كل الأخطاء"
"Select Store","اختر متجرا"
"View All","عرض الكل"
"Welcome, %s!","مرحبا, %s!"
"Your Language","اختيار اللغة "
