"Decimal Number","رقم عشري"
"Default Value","القيمة الاعتيادية"
"Default option value is not defined","قيمة الخيار الافتراضية غير معرفة"
"Integer Number","رقم صحيح"
"Invalid entity type","نوع كائن غير صحيح"
"Invalid foreign key","مفتاح خارجي غير صحيح"
"URL","الرابط"
"Unknown parameter","معامل غير معروف"
