"Add to Wishlist","اضف الى قائمة الامنيات"
"Approved","معتمد"
"Customer Since","عميل منذ"
"Popular","شعبي"
"Telephone","هاتف"
"View Customers","عرض العملاء"
"View Products","عرض المنتجات"
