"Add Sitemap","أضف خريطة للموقع"
"Always","دائما"
"CMS Pages Options","خيارات ادارة المحتوى"
"Categories Options","خيارات التصنيفات"
"Daily","يوميا"
"Edit Sitemap","تحرير خريطة الموقع"
"Error Email Recipient","خطأ فى مستقبل الرسالة"
"Error Email Sender","خطأ فى مرسل الرسالة"
"Error Email Template","خطأ فى قالب الرسالة"
"Filename","اسم الملف"
"Frequency","التردد"
"Generation Settings","خصائص الانشاء"
"Google Sitemap","خريطة الموقع - جوجل"
"Hourly","كل ساعة"
"Last Time Generated","اخر زمن انشاء مسجل"
"Link for Google","رابط لجوجل"
"Monthly","شهريا"
"Never","أبدا"
"New Sitemap","خريطة موقع جديدة"
"Priority","الاولوية"
"Products Options","خصائص المنتج"
"Sitemap generate Warnings","تحذيرات انشاء الخريطة"
"Start Time","زمن البداية"
"Weekly","اسبوعيا"
"Yearly","سنويا"
