"City","المدينة"
"Company","الشركة"
"Discount","خصم"
"Group","مجموعة"
"Order","طلب الشراء"
"Order Status","حالة طلب الشراء"
"Payment Method","طريقة الدفع"
"Shipping Amount","كمية الشحن"
"Shipping Method","طريقة الشحن"
"State","ولاية"
"Store Name","اسم المتجر"
"Tax Amount","كمية الضريبة"
"Tax Rate","معدل الضريبة"
"URL","الرابط"
