"Advanced Search","بحث متقدم"
"Catalog Advanced Search","بحث متقدم فى الكتالوج"
"Popular Search Terms","كلمات البحث الشائعة"
"Search Settings","اعدادات البحث"
"Search entire store here...","ابحث فى المتجر بالكامل هنا..."
"Search results for '%s'","نتائج البحث عن '%s'"
"Search results for: '%s'","نتائج البحث عن: '%s'"
"There are no search terms available.","لا يوجد كلمات بحث متاحة الان."
"Your search returns no results.","لا يوجد نتائج لبحثك."
"up to %s","اعلى الى %s"
