"Add Recipient","Ychwanegu Derbynnydd"
"Allow for Guests","caniatáu i g?r gwadd"
"Email Address:","Cyfeiriad Ebost:"
"Email:","Ebost:"
"Max Recipients","Uchafrif o derbynyddion"
"Maximum %d email addresses allowed.","Uchafrif o %d cyfeiriadau ebost caniataedig."
"Name","Enw"
"Name:","Enw:"
"Recipient:","Derbynnydd:"
"Remove Email","Tynnu Ebost"
"Send product to a friend","Anfon cynnyrch i ffrind"
"Sender:","Anfonwr:"
