"Active","Actif"
"Apply","Ymgeisio"
"Date From","Dyddiad o"
"Date Start","Dyddiad Cychwyn"
"Date To","Dyddiad i"
"Expiration Date","Dyddiad Diwedd"
"From Date","Dyddiad o"
"New Rule","Rheol Newydd"
"Start Date","Dyddiad Cychwyn"
"Status","Statws"
"To Date","Dyddiad i"
"Type","Teip"
