"%s Item(s)","%s Eitem(au)"
"Add Attribute","Ychwanegu Priodoledd"
"Add Design Change","Ychwanegu Newid Dyluniad"
"Add Group","Ychwanegu Grwp"
"Add New","Ychwanegu Newydd"
"Add New Attribute","Ychwanegu Priodoledd Newydd"
"Add New Attribute Set","Ychwanegu Set Priodoledd Newydd"
"Add New Group","Ychwanegu Grwp Newydd"
"Add New Images","Ychwanegu Lluniau Newydd"
"Add New Set","Ychwanegu Set Newydd"
"Add Product","Ychwanegu Cynnyrch"
"Add Tier","Ychwanegu Rhes"
"Add to Cart","Ychwanegu i'r Basged"
"Add to Compare","Ychwanegu i Rhestr Cymharu"
"Add to Wishlist","Ychwanegu i Rhestr Dymuniad"
"Additional Information","Gwybodaeth Ychwanegol"
"All","Holl"
"Best Value","Gwerth Gorau"
"Category Data","Data Categori"
"Change","Newid"
"Change status","Newid statws"
"Continue","Parhau"
"Delete","Dileu"
"Edit","Golygu"
"Email","Ebost"
"Empty","Gwag"
"Gallery","Galeri"
"Go to Home Page","Mynd i Dudalen Gartref"
"Image","Llun"
"Line %d, Email: %s","Llinell %d, Ebost: %s"
"Line %d, SKU: %s","Llinell %d, SKU: %s"
"List","Rhestr"
"List Mode","Modd Rhestr"
"Name","Enw"
"New Product","Cynnyrch Newydd"
"New Products","Cynhyrchion Newydd"
"New Search","Chwiliad Newydd"
"Next","Nesaf"
"No image","Dim llun"
"Number of Uses","Nifer o Ddefnydd"
"OR","NEU"
"Option:","Dewis:"
"Out of Stock","Allan o Stoc"
"Prev","Blaenorol"
"Previous","Blaenorol"
"Print This Page","Argraffu y Tudalen yma"
"Product Description","Disgrifiad Cynnyrch"
"Quick Overview","Arolwg Cyflym"
"Redirect URL","URL Ailgyfeirio"
"Regular Price:","Pris Rheolaidd:"
"Results","Canlyniadau"
"Save Attribute","Arbed Priodoledd"
"Save Attribute Set","Arbed Set Priodoledd"
"Save Category","Arbed Categori"
"Save Search","Arbed Chwiliad"
"Search Information","Gwybodaeth Chwiliad"
"Set Descending Direction","Gosod Trefn Ddisgynnol"
"Show","Dangos"
"Status","Statws"
"Store","Siop"
"Tax","Tacs"
"Template","Templed"
"Type","Teip"
"Use config","Defnyddio cyfluniad"
"View as","Gweld fel"
"Zoom In","Tynhau"
"Zoom Out","Llacio"
"and","ac"
"and above","ac uwch"
"per page","y tudalen"
"select all","dewis holl:"
"unselect all","di-ddewis holl"
