"Active","Actif"
"Apply","Ymgeisio"
"Date Start","Dyddiad Cychwyn"
"From Date","Dyddiad o"
"New Rule","Rheol Newydd"
"Number of Uses","Nifer o Ddefnydd"
"Status","Statws"
"To Date","Dyddiad i"
"Total","Cyfanswm"
"Update the Product","Diweddaru y Cynnyrch"
