"(Starting with)","(Dechrau gyda)"
"(\t for tab)","(t for tab)"
"Active","Actif"
"Add New","Ychwanegu Newydd"
"Add New Block","Ychwanegu Bloc Newydd"
"Add New Image","Ychwanegu Llun Newydd"
"Add New Profile","Ychwanegu Proffil Newydd"
"Add New Role","Ychwanegu Rôl Newydd"
"Add New Template","Ychwanegu Templed Newydd"
"Add New User","Ychwanegu Defnyddiwr Newydd"
"Address Type:","Teip o Gyfeiriad:"
"All","Holl"
"All Files","Holl Ffeiliau"
"All countries","Holl wledydd"
"Any","Unrhyw"
"Average Orders","Cyfartaledd Archebion"
"Bestsellers","Gwerthwyr Gorau"
"Confirm New Password","Cadarnhau Cyfrinair Newydd"
"Continue","Parhau"
"Customer","Cwsmer"
"Customer Name","Enw Cwsmer"
"Customer Since:","Cwsmer Ers:"
"Customer Tax Classes","Dosbarthiadau Treth Cwsmer"
"Customers","Cwsmeriaid"
"Date Updated","Dyddiad Diweddariad"
"Delete","Dileu"
"Delete Block","Dileu Bloc"
"Delete Profile","Dileu Proffil"
"Delete Role","Dileu Rôl"
"Delete User","Dileu Defnyddiwr"
"Download","Lawrlwytho"
"Edit","Golygu"
"Edit Block","Golygu y Bloc"
"Edit Block '%s'","Golygu y Bloc '%s'"
"Email","Ebost"
"Email Address:","Cyfeiriad Ebost:"
"Email:","Ebost:"
"Expiration Date","Dyddiad Diwedd"
"Expiration Date: %s/%s","Dyddiad Diwedd: %s/%s"
"Forgot your password?","Wedi anghofio eich cyfrinair?"
"Forgot your user name or password?","Wedi anghofio eich enw defnyddiwr neu cyfrinair?"
"Items","Eitemau"
"Lifetime Sales","Gwerthiant Oes"
"Log In","Mewngofnodi"
"Name","Enw"
"Name on Card","Enw ar Cerdyn"
"Name on the Card: %s","Enw ar y Cerdyn: %s"
"Name:","Enw:"
"New Accounts","Cyfrifon Newydd"
"New Block","Bloc Newydd"
"New Category","Categori Newydd"
"New Class","Dosbarth Newydd"
"New Customer","Cwsmer Newydd"
"New Customers","Cwsmeriaid Newydd"
"New Email Template","Templed Ebost Newydd"
"New Group","Grwp Newydd"
"New Page","Tudalen Newydd"
"New Password","Cyfrinair Newydd"
"New Poll","Pôl Newydd"
"New Profile","Proffil Newydd"
"New Rating","Cyfraddiad Newydd"
"New Rule","Rheol Newydd"
"New Search","Chwiliad Newydd"
"New System Template","Templed System Newydd"
"New Tag","Tag Newydd"
"New Template","Templed Newydd"
"New User","Defnyddiwr Newydd"
"Number of Uses","Nifer o Ddefnydd"
"Password","Cyfrinair"
"Password Confirmation","Cadarnhau Cyfrinair"
"Password:","Cyfrinair:"
"Regular Price:","Pris Rheolaidd:"
"Results","Canlyniadau"
"Retrieve Password","Adennill Cyfrinair"
"Save Block","Arbed Bloc"
"Search Term","Term Chwilio"
"Search entire store here...","Chwilio y holl siop yma..."
"Select Date","Dewis Dyddiad"
"Shipping","Shipping1"
"Start Date","Dyddiad Cychwyn"
"Static Blocks","Blociau Statig"
"Status","Statws"
"Status:","Statws:"
"Store","Siop"
"Store:","Siop:"
"Subject","Pwnc"
"Tax","Tacs"
"Template","Templed"
"Template Content","Cynnwys Templed"
"Template Information","Gwybodaeth Templed"
"Template Name","Enw Templed"
"Template Subject","Pwnc Templed"
"Template Type","Teip Templed"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Siop arddangosiad yw hwn. Ni fydd unrhyw archeb ar y safle yma yn cael eu hanrhydeddus."
"Total","Cyfanswm"
"Type","Teip"
"Type:","Teip:"
"User Email","Ebost Defnyddiwr"
"User ID","ID Defnyddiwr"
"User Info","Gwybodaeth Defnyddiwr"
"User Information","Gwybodaeth Defnyddiwr"
"User Name","Enw Defnyddiwr"
"User Name:","Enw Defnyddiwr:"
"User Password","Cyfrinair Defnyddiwr"
"User Role","Rôl Defnyddiwr"
"User name","Enw Defnyddiwr"
"Users","Defnyddwyr"
"What is this?","Beth yw hwn?"
"Zip/Postal Code","Côd Post"
"Zip/Postal Code:","Côd Post:"
