"Always","Bob Amser"
"Daily","Dyddiol"
"Filename","Enw Ffeil"
"Frequency","Amledd"
"Hourly","Bob Awr"
"Monthly","Misol"
"Never","Byth"
"Start Time","Amser Cychwyn"
"Weekly","Wythnosol"
"Yearly","Blynyddol"
