"Add New Class","Ychwanegu Dosbarth Newydd"
"Add New Tax Rate","Ychwanegu Cyfradd Treth Newydd"
"Add New Tax Rule","Ychwanegu Rheol Treth Newydd"
"Class Name","Enw Dosbarth"
"Customer Tax Classes","Dosbarthiadau Treth Cwsmer"
"Delete Class","Dileu Dosbarth"
"Delete Rate","Dileu Cyfradd"
"Edit Class","Golygu Dosbarth"
"Edit Class '%s'","Golygu Dosbarth '%s'"
"Edit Tax Rate","Golygu Cyfradd Treth"
"Inc. Tax","Cynnwys Tacs"
"Name","Enw"
"New Class","Dosbarth Newydd"
"New Rule","Rheol Newydd"
"New Tax Rate","Treth Tacs Newydd"
"Product Tax Class Information","Gwybodaeth Dosbarth Treth y Cynnyrch"
"Tax","Tacs"
"Total","Cyfanswm"
"Zip/Post Code","Cod Post"
