"Active","Actif"
"Add to Cart","Ychwanegu i'r Basged"
"Address","Cyfeiriad"
"Apply","Ymgeisio"
"Bestsellers","Gwerthwyr Gorau"
"Closed","Ar gau"
"Comment","Sylw"
"Continue","Parhau"
"Customer","Cwsmer"
"Customer Name","Enw Cwsmer"
"Delete","Dileu"
"Edit","Golygu"
"Email","Ebost"
"Go to Home Page","Mynd i Dudalen Gartref"
"Items","Eitemau"
"My Orders","Fy Archebion"
"Name","Enw"
"Order Date","Dyddiad Archebu"
"Order Date: ","Dyddiad Archebu:"
"Order Date: %s","Dyddiad Archebu: %s"
"Shipping","Shipping1"
"Status","Statws"
"Status:","Statws:"
"Tax","Tacs"
"Total","Cyfanswm"
"Type","Teip"
"ZIP/Post Code","Cod Post"
"Zip/Postal Code","Côd Post"
