"Add New Block","Ychwanegu Bloc Newydd"
"Add New Page","Ychwanegu Tudalen Newydd"
"Block Title","Teitl y Bloc"
"CMS Home Page","Tudalen Cartref CMS"
"Date Created","Dyddiad Creu"
"Delete Block","Dileu Bloc"
"Delete Page","Dileu Tudalen"
"Edit Block","Golygu y Bloc"
"Edit Block '%s'","Golygu y Bloc '%s'"
"Edit Page","Golygu y Tudalen"
"Edit Page '%s'","Golygu y Tudalen '%s'"
"Go to Home Page","Mynd i Dudalen Gartref"
"Identifier","Dynodwr"
"Keywords","Allweddeiriau"
"Manage Pages","Rheoli Tudalenau"
"Meta Data","Data Meta"
"Meta Description","Disgrifiad Meta"
"Meta Keywords","Allweddeiriau Meta"
"New Block","Bloc Newydd"
"New Page","Tudalen Newydd"
"Page Information","Gwybodaeth Tudalen"
"Page Status","Statws Tudalen"
"Page Title","Teitl Tudalen"
"Product Tax Class Information","Gwybodaeth Dosbarth Treth y Cynnyrch"
"Save Block","Arbed Bloc"
"Save Page","Arbed Tudalen"
"Static Blocks","Blociau Statig"
"Status","Statws"
"Template","Templed"
