"ALL","HOLL"
"ANY","UNRHYW"
"Apply","Ymgeisio"
"FALSE","FFUG"
"Perform following actions","Perfformio gweithred canlynol"
"Please choose a condition to add...","Dewiswch amod i ychwanegu os gwelwch yn dda..."
"Please choose an action to add...","Dewiswch gweithred i ychwanegu os gwelwch yn dda…"
"TRUE","GWIR"
"by","a"
"is","yw"
"is not","yw ddim"
