"-- Please Select --","--Vänligen välj--"
"1 column","1 kolumn"
"2 columns with left bar","2 kolumner med vänster bar"
"2 columns with right bar","2 kolumner med höger sektion"
"3 columns","3 kolumner"
"About the calendar","Om kalendern"
"Account","Konto"
"All Pages","Alla sidor"
"Allow","Tillåt"
"Close","Stäng"
"Close Window","Stäng fönster"
"Default welcome msg!","Standard välkomstmeddelande!"
"Empty","Tom"
"Go Today","Gå till Idag"
"JavaScript seems to be disabled in your browser.","JavaScript verkar vara inaktiverat i din webbläsare."
"Left Column","Vänster kolumn"
"Menu","Meny"
"Next","Nästa"
"Previous","Föregående"
"Report All Bugs","Rapportera alla buggar"
"Right Column","Höger kolumn"
"Search","Sök"
"Select Store","Välj en butik"
"Show","Visa"
"View All","Visa alla"
"Your Language","Ditt språk"
"Your Language:","Ditt språk:"
"per page","per sida"
