"* Required Fields","* Obligatoriska fält"
"Add All to Cart","Lägg till alla i kundvagnen"
"Add to Cart","Lägg till i kundvagn"
"Add to Compare","Lägg till i jämför"
"Add to Wishlist","Lägg till i önskelista"
"Back","Tillbaka"
"Click for price","Klicka för pris"
"Comment","Kommentarer"
"Comment:","Kommentar:"
"Date Added","Tillagd datum"
"Edit","Redigera"
"Email Sender","E-postavsändare"
"Email Template","E-postmall"
"Enabled","Aktiverad"
"General Options","Allmänna inställningar"
"In stock","I lager"
"Message","Meddelande"
"Options Details","Detaljer för Alternativ"
"Out of stock","Ej i lager"
"Price","Pris"
"Product","Produkt"
"Qty","Antal"
"Remove Item","Ta bort Artikel"
"Remove This Item","Ta bort Denna Artikel"
"Remove item","Ta bort artikel"
"SKU","Art.nr"
"Sharing Information","Delningsinformation"
"View Details","Visa detaljer"
"View Product","Visa produkt"
"What's this?","Vad är detta?"
"Wishlist","Önskelistan"
