"Add","Lägg till"
"Add New Row","Lägg till ny rad"
"Availability:","Tillgänglighet:"
"Back","Tillbaka"
"Canceled","Avbruten"
"Date","Datum"
"Delete","Ta bort"
"Downloadable Information","Nedladdningsbar Information"
"Edit","Redigera"
"Edit item parameters","Redigera parametrarna för"
"Excl. Tax","-Exkl. Moms"
"File","Fil"
"From:","Från:"
"Gift Message","Presentmeddelande"
"In stock","I lager"
"Incl. Tax","Inkl. Moms"
"Invalid download link type.","Ogiltig länk för nedladdning."
"Invoiced","Fakturerad"
"List","Listvy"
"Message:","Meddelande:"
"Move","Flytta"
"My Downloadable Products","Min nedladdningsbara produkter"
"Order #","Beställning #"
"Order id cannot be null","Order-id får inte vara null"
"Order item id cannot be null","Order-id får inte vara null"
"Ordered","Beställd"
"Out of stock","Ej i lager"
"Pending","Väntar"
"Please set resource file and link type.","Vänligen ange resursfil och länktyp."
"Price","Pris"
"Qty","Antal"
"Refunded","Återbetald"
"Remove","Ta bort"
"Remove Item","Ta bort Artikel"
"SKU","Art.nr"
"See price before order confirmation.","Se pris innan orderbekräftelse."
"Shipped","Skickad"
"Sorry, there was an error getting requested content. Please contact the store owner.","Tyvärr, gick det inte att få begärda innehållet. Vänligen kontakta butiksägaren."
"Sort Order","Sorteringsordning"
"Subtotal","Delsumma"
"The link has expired.","Länken har upphört att gälla."
"The link is not available.","Länken är inte tillgänglig."
"Title","Titel"
"To:","Till:"
"Unlimited","Obegränsat"
"Update","Uppdatera"
"Use Default Value","Använd standardvärde"
"View Order","Visa beställning"
"What's this?","Vad är detta?"
"You have not purchased any downloadable products yet.","Du har inte köpt några nedladdningsbara produkter ännu."
