"-- Please select --","--Vänligen välj--"
"Allowed Currencies","Tillåtna valutor"
"Base Currency","Basvaluta"
"Country","Land"
"Country and Format Type combination should be unique","Land och formattypskombination ska vara unikt"
"Currency","Valuta"
"Currency Options","Valutaval"
"Currency Setup","Valutainställningar"
"Currency Update Warnings","Varningar vid valutauppdateringar"
"Default Display Currency","Förvald visingsvaluta"
"Enabled","Aktiverad"
"Error Email Recipient","Fel E-post mottagare"
"Error Email Sender","Fel E-post avsändare"
"Error Email Template","Felmeddelande E-post-mall"
"FATAL ERROR:","DÖDLIGT FEL:"
"Frequency","Frekvens"
"Service","Tjänst"
"Start Time","Starttid"
"State/Province","Län"
"WARNING:","VARNING:"
