"All Websites","Alla webbplatser"
"Display Prices In Emails","Visa priser i e-postmeddelanden"
"Display Prices In Product Lists","Visa priser i produktlistor"
"Display Prices On Product View Page","Visa priser i produktlistor"
"Enable FPT","Aktivera FPT"
"Excluding FPT","Exklusive FPT"
"Fixed Product Tax","Fast produktskatt"
"Fixed Product Taxes","Fast produktskatt"
"Including FPT and FPT description","Inklusive FPT och FPT Beskrivning"
"Including FPT only","Inklusive FPT endast"
"Total","Summa"
"Total Incl. Tax","Totalt inkl moms"
"Total:","Totalt:"
