"Catalog","Katalog"
"Click for price","Klicka för pris"
"Discount","Rabatt"
"Enable RSS","Aktivera RSS"
"From:","Från:"
"Get Feed","Ta Emot Feed"
"Gift Message","Presentmeddelande"
"Grand Total","Totalsumma"
"Low Stock Products","Produkter med lågt lagersaldo"
"Message:","Meddelande:"
"Miscellaneous Feeds","Diverse Flöden"
"New Orders","Nya beställningar"
"New Products","Nya produkter"
"Order","Beställning"
"RSS Feeds","RSS-flöde"
"Rss Config","Rss-Config"
"Shipping &amp; Handling","Frakt & hantering"
"Special Products","Reaprodukter"
"Subtotal","Delsumma"
"Tax","Skatt"
"To:","Till:"
"Top Level Category","Överkategori"
"Wishlist","Önskelistan"
