"Add Option","Lägg till alternativ"
"Attribute Code","Attributkod"
"Attribute Label","Attributetikett"
"Attribute Properties","Egenskaper för attribut"
"Attribute object is undefined","Attributobjekt är inte definierad"
"Catalog Input Type for Store Owner","Inmatningstyp för butiksägare"
"Date","Datum"
"Decimal Number","Decimaltal"
"Default Value","Standardvärde"
"Delete","Ta bort"
"Dropdown","Rullgardinsmeny"
"Email","E-post"
"Entity object is undefined","Enhetsobjekt är inte definierad"
"Input Validation for Store Owner","Indata för butiksägaren"
"Integer Number","Heltal"
"Invalid date","Ogiltigt datum"
"Letters","Bokstäver"
"Letters (a-z, A-Z) or Numbers (0-9)","Bokstäver (a-z, A-Z) eller nummer (0-9)"
"Multiple Select","Flerval"
"No","Nej"
"None","Inga"
"Required","Obligatorisk"
"Text Area","Textruta"
"Text Field","Textfält"
"URL","Webbadress"
"Unique Value","Unikt värde"
"Unique Value (not shared with other products)","Unikt värde (Får inte delas med andra produkter)"
"Values Required","Värden krävs"
"Yes","Ja"
"Yes/No","Ja/Nej"
