"Action","Åtgärd"
"Add to Cart","Lägg till i kundvagn"
"Add to Compare","Lägg till i jämför"
"Add to Wishlist","Lägg till i önskelista"
"Any","Valfri"
"Are you sure?","Är du säker?"
"Bestsellers","Bästsäljare"
"Compared Products Grid Template","Jämförda produkter rutnäts-mall"
"Compared Products List Template","Jämförda produkter listmall"
"Coupons","Kuponger"
"Coupons Usage Report","Användning av rabattkoder"
"Created At","Skapades"
"Customer","Kund"
"Customer Name","Kundnamn"
"Customers","Kunder"
"Customers Report","Kundrapporter"
"Customers Reviews","Kundrecensioner"
"Customers by Orders Total","Kunder efter ordersumma"
"Customers by number of orders","Kunder efter antal order"
"Dashboard","Översikt"
"Day","Dag"
"Description","Beskrivning"
"Detail","Detaljer"
"Downloads","Nerladdningar"
"Email","E-post"
"Empty Rows","Tomma rader"
"First Name","Förnamn"
"From","Från"
"General","Allmänt"
"Guest","Gäst"
"IP Address","IP-adress"
"Invoiced","Fakturerad"
"Items in Cart","Artiklar i kundvagnen"
"Last Name","Efternamn"
"Last Review","Senaste Recensionen"
"Link","Länk"
"List of Products Recently Viewed by Visitor","Lista över produkter som nyligen tittats på av besökare"
"Low stock","Lågt lagersaldo"
"Month","Månad"
"Most Viewed","Mest visade"
"Name","Namn"
"New Accounts","Nya konton"
"No","Nej"
"Number of Products to display","Antal produkter att visa"
"Order Status","Beställningsstatus"
"Orders","Beställningar"
"Out of stock","Ej i lager"
"Price","Pris"
"Product Name","Produktnamn"
"Product Reviews","Produktrecensioner"
"Products","Produkter"
"Products Ordered","Beställda produkter"
"Products Report","Productrapport"
"Products Reviews","Produktrecensioner"
"Purchases","Köp"
"Recently Compared","Senast jämförda"
"Recently Compared Products","Nyligen jämförda produkter"
"Recently Viewed","Senast visade"
"Recently Viewed Products","Nyligen visade produkter"
"Recently Viewed/Compared Products","Nyligen visade/jämförda produkter"
"Refresh Statistics","Uppdatera statistik"
"Refunds","Återbetala"
"Report","Rapport"
"Reports","Rapporter"
"Results","Resultat"
"Revenue","Intäkter"
"Review","Recension"
"Reviews","Recensioner"
"Sales","Försäljning"
"Search Query","Sökterm"
"Search Terms","Söktermer"
"Shipping","Frakt"
"Shopping Cart","Kundvagn"
"Show Actual Values","Visa faktiska värden"
"Show Report","Visa rapport"
"Specified","Angivna"
"Subtotal","Delsumma"
"Tax","Skatt"
"Title","Titel"
"To","Till"
"Total","Summa"
"Viewed Products Grid Template","Visade produkter rutnäts-mall"
"Viewed Products List Template","Visade produkter list-mall"
"Year","År"
"Yes","Ja"
