"Action","Åtgärd"
"Add Sitemap","Lägg Sitemap"
"Always","Alltid"
"CMS Pages Options","CMS-sidalternativ"
"Daily","Dagligen"
"Edit Sitemap","Redigera Sitemap"
"Enabled","Aktiverad"
"Error Email Recipient","Fel E-post mottagare"
"Error Email Sender","Fel E-post avsändare"
"Error Email Template","Felmeddelande E-post-mall"
"Filename","Filnamn"
"Frequency","Frekvens"
"Generate","Generera"
"Monthly","Månatligen"
"Never","Aldrig"
"New Sitemap","Ny Sitemap"
"Path","Sökväg"
"Priority","Prioritet"
"Start Time","Starttid"
"Store View","Butiksvy"
"This sitemap no longer exists.","Denna sitemap finns inte längre."
"Weekly","Veckovis"
