"* Required Fields","* Obligatoriska fält"
"-- Select --","--Välj--"
"Add New Option","Lägg till ny egenskap"
"As Low as","Så lågt som"
"As low as","Så lågt som"
"Bundle Items","Paketprodukter"
"Checkbox","Kryssruta"
"Choose a selection...","Välj ett urval..."
"Click for price","Klicka för pris"
"Close","Stäng"
"Default","Förvald"
"Default Qty","Förvalt Antal"
"Default Title","Standardtitel"
"Drop-down","Rullgardin"
"Dynamic","Dynamisk"
"Excl. Tax","-Exkl. Moms"
"Fixed","Fast"
"From","Från"
"From:","Från:"
"Gift Message","Presentmeddelande"
"Incl. Tax","Inkl. Moms"
"Input Type","Indatatyp"
"Message:","Meddelande:"
"Multiple Select","Flerval"
"N/A","Ej tillgängligt"
"No options of this product are available.","Det finns inget alternativ för denna produkt."
"None","Inga"
"Percent","Procent"
"Percent Discount","Procentuell rabatt"
"Please enter a number greater 0 in this field.","Du måste fylla in en siffra högre än 0."
"Please specify product option(s).","Vänligen ange produktalternativ(en)."
"Position","Plats"
"Price Range","Prisintervall"
"Price Type","Pristyp"
"Qty:","Antal:"
"Radio Buttons","Radioknappar"
"SKU","Art.nr"
"Separately","Separat"
"Ship Bundle Items","Skicka produktpaket"
"Shipment","Frakt"
"Store View Title","Rubrik för butik"
"To","Till"
"To:","Till:"
"Together","Tillsammans"
"Use Default Value","Använd standardvärde"
"save","spara"
