" for more information or "," för mer information eller "
"# of Items (and above)","# Objekt (och högre)"
"# of Items vs. Destination","# av objekt vs. Destination"
"Carrier:","Fraktbolag:"
"City","Stad"
"Close Window","Stäng fönster"
"Condition","Villkor"
"Country","Land"
"Custom Value","Anpassat Värde"
"Date","Datum"
"Delivered on:","Levererad på:"
"Description","Beskrivning"
"Enabled","Aktiverad"
"Error:","Fel:"
"Fixed","Fast"
"Import","Importera"
"Local Time","Lokal tid"
"Location","Plats"
"N/A","Ej tillgängligt"
"None","Inga"
"Options","Alternativ"
"Order Subtotal (and above)","Beställningens delsumma (och senare)"
"Origin","Ursprung"
"Per Order","Per beställning"
"Per Package","Per paket"
"Percent","Procent"
"Price","Pris"
"Price vs. Destination","Pris kontra Destination"
"Region/State","Region/delstat"
"Shipment #","Leverans #"
"Shipping Methods","Fraktsätt"
"Shipping Settings","Fraktinställningar"
"Shipping Settings Section","Sektion för fraktinställning"
"Sort Order","Sorteringsordning"
"Store Pickup","Hämta i Butik"
"Street Address","Gatuadress"
"Street Address Line 2","Gatuadress Rad 2"
"There is no tracking available for this shipment.","Det finns ingen spårning tillgänglig för denna leverans."
"There is no tracking available.","Det finns ingen spårning tillgänglig."
"Title","Titel"
"Track:","Spåra:"
"Tracking Information","Spårningsinformation"
"Tracking Number:","Spårningsnummer:"
"Type","Typ"
"Weight (and above)","Vikt (och över)"
"Weight vs. Destination","Pris kontra Destination"
"ZIP/Postal Code","Postnummer"
"contact us","kontakta oss"
"email us at ","maila oss på "
