"Actions","Åtgärder"
"Active","Aktiv"
"Add New Rule","Lägg till en Ny Regel"
"Apply","Tillämpa"
"Apply Rules","Tillämpa regler"
"Attribute Set","Attributgrupp"
"Catalog","Katalog"
"Catalog Price Rule","Katalogprisregel"
"Category","Kategori"
"Conditions","Villkor"
"Conditions Combination","Villkorskombination"
"Customer Groups","Kundgrupper"
"Date From","Datum från"
"Date To","Datum till"
"Description","Beskrivning"
"Discount Amount","Rabattbelopp"
"Edit Rule","Redigera regel"
"Expiration Date","Utgångsdatum"
"General Information","Allmän Information"
"Inactive","Inaktiv"
"New Rule","Ny regel"
"No","Nej"
"Options","Alternativ"
"Priority","Prioritet"
"Product Attribute","Produktattribut"
"Promotions","Kampanjer"
"Rule Information","Information om regel"
"Rule Name","Regelnamn"
"Save and Apply","Spara och tillämpa"
"Save and Continue Edit","Spara och Fortsätt Redigera"
"Start Date","Startdatum"
"This rule no longer exists.","Denna regel finns inte längre."
"Type","Typ"
"Website","Webbplats"
"Websites","Webbplatser"
"Yes","Ja"
