"Add Minimum Qty","Lägg till Minsta Antal"
"Allow Qty Below 0","Tillåt antal under 0"
"Allow Qty Below 0 and Notify Customer","Tillåt antal under 0 och informera kunden"
"Backorders","Restorder"
"Decrease Stock When Order is Placed","Minska Produkter i Lager Efter Beställning"
"Enable Qty Increments","Aktivera antal steg"
"In Stock","I lager"
"Inventory","Lagerstatus"
"Manage Stock","Hantera lager"
"Maximum Qty Allowed in Shopping Cart","Högsta antal tillåtna i kundvagn"
"Minimum Qty","Minsta Antal"
"Minimum Qty Allowed in Shopping Cart","Minsta antal tillåtna i kundvagn"
"No Backorders","Inga restorder"
"Notify for Quantity Below","Notifiera för antal under"
"Out of Stock","Ej i lager"
"Product Name","Produktnamn"
"Qty","Antal"
"Qty Increments","Antal steg"
"Stock Status","Lagerstatus"
"The stock item for Product in option is not valid.","Lagerstatus för produkten är inte giltigt."
"Update","Uppdatera"
"Update the Product","Uppdatera produkten"
