"Error Email Recipient","ඊමේල් ලබන්නාගේ දෝෂයකි"
"Error Email Sender","ඊමේල් යවන්නාගේ දෝෂයකි"
"Error Email Template","දෝෂ ඊමේල් සැකිල්ල"
"Frequency","සංඛ්යාතය"
"Start Time","ආරම්භක වේලාව"
