"Back","ආපසු"
"Email Address","විද්යුත් තැපැල් ලිපිනය"
"Email Address:","විද්යුත් තැපැල් ලිපිනය:"
"Email Templates","ඊමේල් සැකිලි"
"Email to a Friend","මිතුරෙකුට ඊමේල් කරන්න"
"Email:","විද්යුත් තැපෑල:"
"Enabled","සබල කර ඇත"
"Message:","පණිවුඩය:"
"Name","නම"
"Send Email","ඊමේල් යවන්න"
