"Add","එකතු කරන්න"
"Are you sure?","ඔබට විශ්වාසද?"
"Cancel","අවලංගු කරන්න"
"Edit","සංස්කරණය කරන්න"
"From","සිට"
"Gift Message","තෑගි පණිවිඩය"
"Gift Options","තෑගි විකල්ප"
"Message","පණිවුඩය"
"No","නැත"
"OK","හරි"
"Save Gift Message","තෑගි පණිවිඩය සුරකින්න"
"To","වෙත"
"Use config","config භාවිතා කරන්න"
"Yes","ඔව්"
