"--Please Select--","--Si us plau, seleccioneu--"
"API Login ID","ID d'accés de l'API"
"Accepted Currency","Moneda Acceptada"
"Authorize.net Direct Post","Post directe d'Authorize.net"
"Card Verification Number","Número de Verificació de Targeta"
"Close","Tanca"
"Credit Card Information","Informació de la Targeta de Crèdit"
"Credit Card Number","Número de Targeta de Crèdit"
"Credit Card Type","Tipus de Targeta de Crèdit"
"Credit Card Types","Tipus de Targeta de Crèdit"
"Credit Card Verification","Verificació de la Targeta de Crèdit"
"Debug","Depuració"
"Email Customer","Correu Electrònic del Client"
"Enabled","Habilitat"
"Expiration Date","Data de caducitat"
"Gateway URL","URL de la passarel·la"
"Maximum Order Total","Total Màxim de la Comanda"
"Merchant MD5","MD5 del Venedor"
"Merchant's Email","Correu Electrònic del Venedor"
"Minimum Order Total","Total Mínim de la Comanda"
"New Order Status","Nou estat de la comanda"
"Payment Action","Acció de pagament"
"Payment from Applicable Countries","Pagament de Països Acceptats"
"Payment from Specific Countries","Pagament de Països Específics"
"Sort Order","Criteri d'Ordenació"
"Test Mode","Mode de Prova"
"Title","Títol"
"Transaction Key","Clau de Transacció"
"What is this?","Què és això?"
