"-- Please Select --","-- Si us plau, seleccioneu --"
"Actions","Accions"
"All","Tot"
"Apply","Aplica"
"Big Image","Imatge gran"
"Close","Tanca"
"Delete","Eliminar"
"Export to:","Exporta a:"
"Images","Imatges"
"Next page","Pàgina següent"
"Previous page","Pàgina anterior"
"Products","Productes"
"Save and Continue Edit","Desa i continua editant"
"Select All","Selecciona Tot"
"Select Visible","Selecciona Visible"
"Settings","Configuració"
"Sort Order","Criteri d'Ordenació"
"Template","Plantilla"
"The information in this tab has been changed.","La informació d'aquesta pestanya ha canviat."
"Thumbnail","Miniatura"
"Type","Tipus"
"Unselect All","Deselecciona-ho tot"
"Unselect Visible","Deselecciona Visible"
"View","Vista"
"per page","per pàgina"
