"* Required Fields","* Camps obligatoris"
"Add All to Cart","Afegir tot a la cistella"
"Add to Cart","Afegir a la cistella"
"Add to Compare","Afegir per Comparar"
"Back","Torna"
"Date Added","Data en què s'ha afegit"
"Edit","Edita"
"Email Sender","Remitent de Correu electrònic"
"Email Template","Plantilla de correu electrònic"
"Enabled","Habilitat"
"In stock","En estoc"
"Message","Missatge"
"Options Details","Detalls de les opcions"
"Out of stock","Sense estoc"
"Price","Preu"
"Product","Producte"
"Qty","Quantitat"
"Remove This Item","Treure aquest element"
"Remove item","Elimina l'article"
"User Description","Descripció de l'usuari"
"View Details","Veure detalls"
"What's this?","Què és això?"
